,author,title_abstract
366,Jean-Charles Lamirel, sélection centralité détection rôles trait sélection paramètres performances classification étiquetage mesure qualité article utilisation contexte terrain structure systèmesans paramètres performances graphes corrélations trait mesures centralité mesures rôle noeuds mesure centralité noeuds réseau regard communautés mesures rôles taille définition communauté résultats réseau possibilité applications temporelde structure communautés processus sélection système seuils rôles approche sélection estimation qualité maximisation étiquetage max estimation qualité classification favoriseles étiquetage article adaptation classification sélection fonction contraste méthode données contexte performances méthodes rapport art sélection cas classification
367,Karima Akli-Astouati, opinions temps recommandation
368,Amira Oussalah, opinions temps recommandation
369,Samy Ait-Bachir, opinions temps recommandation
370,Noureddine Azzouza, opinions temps recommandation
371,Christophe Brouard, veille information apprentissage outils recommandation pertinence veille précédentsjugements documents outils recommandation flux cuments utilisateur mots adéquation veille outils veille information apprentissage balbutiements application définition thème veille lasélection sources information thème scores documents retours utilisateur thème évaluation qualité interrogation recherche application encours développement accessiblesur
372,Christian Pomot, veille information apprentissage outils recommandation pertinence veille précédentsjugements documents outils recommandation flux cuments utilisateur mots adéquation veille outils veille information apprentissage balbutiements application définition thème veille lasélection sources information thème scores documents retours utilisateur thème évaluation qualité interrogation recherche application encours développement accessiblesur
373,Maisa Cristina Duarte, instance chaîne modélisation étapes préparation création tance lecture compréhension connaissances portuguais place instance àl amélioration chaîne correspondance ontologie processus place lancement visualisation données
374,Franck Meyer, outil classification messages outil classification groupe analyse opinions factorisation utilisateur textes enquêtes intérêts client » rapidité débit texte recommandations label textes sélection méthode classification label système article capacité classification label temps apprentissage résultats différences méthodes mesures évaluation temps apprentissage prédiction label ml chains relevance
375,Wissam Siblini, outil classification messages outil classification groupe analyse opinions factorisation utilisateur textes enquêtes intérêts client » rapidité débit texte recommandations label textes
376,Sylvie Tricot, outil classification messages outil classification groupe analyse opinions factorisation utilisateur textes enquêtes intérêts client » rapidité débit texte recommandations label textes
377,Mounia Lalmas, retrieval satisfaction engagement prediction information information varied results termrelationship art evaluation exploring ofquantifying engagement service term engagement aspects
378,Julio Cesar Dos Reis, adaptation systèmes organisation connaissance domaine thèse doctorat changements évolution domaine proposition socs changements actions modification contributions travail mappings méthodes mappings évolution concepts mappings patrons changement adaptation base cadre adaptation prototype méthodes cadre jeux données versions domaine résultats efficacité approche maintenance mappings qualité adaptation dynamiques ontologies rôle systèmes information vertu évolution connaissances éléments sujets modification maintenance validité article adaptation approche explication informations évolution adaptations validation domaine associés
379,Michaël Rusinowitch, activité exposition vie médias identity
380,Abdessamad Imine, activité exposition vie médias identity
381,Younes Abid, activité exposition vie médias identity
382,Marc Rigolot, activité exposition vie médias identity
383,Bruno Guerraz, coclustering identification visualisation bases données défi outil visualisation relations visualisation forme matrice dimensions clusters intervalles outil grille intérêt
384,Dominique Gay, coclustering identification visualisation bases données défi outil visualisation relations visualisation forme matrice dimensions clusters intervalles outil grille intérêt séquences évènements méthode deséquences modèles dimensions clusters dimension intervalles dimension groupes decellules estimateur densité séquences dimensions évènements séquences évènements cours temps exploitation simplification indicateurspermettant clusters séquences expériences données dblp approche construction classification séries processus construction classification séries processus utilisateur étapes données représentations représentations coclustering résultats clustering séries base objets attributs objets séries attributs représentations classifieur base données processus performances art critère robustesse règles classification utilisation règles classification modèles années forme règles motifs règles classification mesure intérêt performances performances mesure intérêt confiance taux accroissement seuillage règles règles article critère robustesse règles classification données critère approche expression probabilité données règles critère règles règles données extraction visualisation localisations experts fouille données localisations données objectifest ensembles caractéristiques objets relations experts interprétation contexte connaissance experts découverte représentation motifs données résultats domaine construction exemples classification présence bruit valeurs effets performance décisions modèles problème bruit classe bruit attributs travail construction exemples résultats construction comparaison précision méthodes classification collections
385,Eric Kergosien, séries publications application conférences article méthodologie analyses dimensions publications méthodologiecomporte étapes préparation validation données critères noms auteurs affiliation indexation contenus despublications expérimentations série depublications conférences données informations article méthodes extraction informations documents méthode approche extraction informations patrons classification contexte résultats jeu données
386,Christian Sallaberry, séries publications application conférences article méthodologie analyses dimensions publications méthodologiecomporte étapes préparation validation données critères noms auteurs affiliation indexation contenus despublications expérimentations série depublications conférences
387,Albert Royer, séries publications application conférences article méthodologie analyses dimensions publications méthodologiecomporte étapes préparation validation données critères noms auteurs affiliation indexation contenus despublications expérimentations série depublications conférences
388,Marie-Noëlle Bessagnet, séries publications application conférences article méthodologie analyses dimensions publications méthodologiecomporte étapes préparation validation données critères noms auteurs affiliation indexation contenus despublications expérimentations série depublications conférences
389,Annig Le Parc - Lacayrelle, séries publications application conférences article méthodologie analyses dimensions publications méthodologiecomporte étapes préparation validation données critères noms auteurs affiliation indexation contenus despublications expérimentations série depublications conférences
390,Adrian Tanasescu, analyses défi articles actes conférences année richesse fer recherche gestion extraction connaissances publications essence recherches spécificités publications conférence différences éditions publications articulentautour approximation évolution débuts conférence édition mesure phrases noyaux approche calcul phrases noyaux noyaux verbe objet information phrases extraits noyaux indicateurs apprentissage phrases experts importance indicateur modèle mesure entrephrases études estimation phrases performances outil navigation cours développement recherche combinaison mécanisme construction réponses rdf souci cohérence combinaison rdf contradiction mesure moment documents documents réponses interrogation documents développement élaboration standards représentation connaissances standards recommandation wc homme machine triplets services interrogation raisonnement travaux interrogation documents usage programmation extensions regard interrogation raisonnement documents termes représentation propositions transformation ontologies mécanismes réponses approximation recouvrement interrogations documents
391,Sofiane Bouzid, analyses défi articles actes conférences année richesse fer recherche gestion extraction connaissances publications essence recherches spécificités publications conférence différences éditions publications articulentautour approximation évolution débuts conférence édition
392,Suzanne Pinson, apprentissage signal prix électricité arbres régression séries terme termperiod utilisation données systèmes exploitation temps connaissances domaines simulation communications parties termes réalisme communications diffusion actes langage travaux difficulté oeuvre communications article formalisme données informations besoins agents messages modélisation cadre environnement munication systèmes agents propos exemple gestion communications poste urgence expérience fertilisation acquisition coopérative connaissances construction modèle simulation article approche cooperative acquisition acquisition connaissances construction modèle simulation agents principe jeu rôles réunion entreprise modèle acteurs modèle système étude modèle acteurs compréhension processus décision avicole comportements gestion utilisation matières
393,Louis-Victor Pasquier, apprentissage signal prix électricité arbres régression séries terme termperiod
394,Benoît Otjacques, arbres modèles flux données tree predictive issue techniques prior phase article prototype clustering article approche approche perception utilisateur processus extraits ordre extraction utilisateur approche enfonction critère influence extraits protocole test approche approches article papier observations distributions graphes principe desclusters formes données propriété popularité bases depuisplus décennie variantes transformation espace formes structures distributions auteurs théorie article approche structure travail paramètresde commandant transformation espace art théorie expériences combinaisons conditions efficacité proposition outil article outil réduction représentation données classes originalité outil modifications projection grâce contrôles utilisateur préférences changement temps méthode utilisateur exemple intérêt outil
395,Yoanne Didry, arbres modèles flux données tree predictive issue techniques prior phase article prototype outil exploration défi egc cadre défi applicationweb données articles conférences outil thèmes papiers articles thèmes classification arbres décision induction arbre décision populairepour connaissance arbres décision données monde difficilesà cadre article solution résultat classification arbres décision
396,Rallou Thomopoulos, argumentation simulation décision illustration décision acteurs objectifs informations préférencesdes acteurs décisions paramètres indicateurs acteurs article approches modèle argumentation modèle scénarios chaquedécision systèmes article éléments exemple appui réflexion fusion données approche cadre projet données article étape données représentation duplicats propriété duplicats méthode pouvoir suite résultat utilisateur approche décision argumentation data annotation fusion evaluation article approche fusion données utilisation informations qualité données conflits valeurs comparaison modes représentation données sciences article modes représentation cadre sciences microbiologie modèle interrogés technologies céréales article caractéristiques données représentation systèmes ensembles ontologie ensembles valeurs intervalle limites expression préférences critères sélection requêtes bases données représentation connaissances utilisation types objets domaine ensembles domaine définition hiérarchie éléments sorte notion flou partie extension flou ensembles ontologie flou exemple application système information prévention sécurité
397,Sébastien Gaucel, argumentation simulation décision illustration décision acteurs objectifs informations préférencesdes acteurs décisions paramètres indicateurs acteurs article approches modèle argumentation modèle scénarios chaquedécision systèmes article éléments exemple appui réflexion
398,Bernard Moulin, argumentation simulation décision illustration décision acteurs objectifs informations préférencesdes acteurs décisions paramètres indicateurs acteurs article approches modèle argumentation modèle scénarios chaquedécision systèmes article éléments exemple appui réflexion
399,Cédric Dray, caractérisation apprentissage machine powerful getting experts choice calibration machine thusto assistance solution limitation currentdata characterization
400,Philippe Valet, caractérisation apprentissage machine powerful getting experts choice calibration machine thusto assistance solution limitation currentdata characterization
401,Coriane Nana Jipmo, catégorisation désambiguïsation intérêts individus article approche catégorisation désambiguïsationdes intérêts individus réconciliation profils gives information methodsthat match
402,Nacéra Bennacer, catégorisation désambiguïsation intérêts individus article approche catégorisation désambiguïsationdes intérêts individus réconciliation profils gives information methodsthat match neighboring approximations structured documents structures resources tag documents allows document parts enrichissement documents approche enrichissement documents domaine contenu documents xml
403,Ahmed Cheriat, clustering apprentissage distance préférences attributs années méthodes contraintes paires objets étiquettes accord besoins utilisateur cas dimensions études clairementdéfinies attributs données formulation écueils malédiction interprétation article compte utilisateur attributs apprentissage distance poids utilisateur approche clustering compromis approches utilisateur clustering qualité
404,Lydia Boudjeloud, clustering article approche approche perception utilisateur processus extraits ordre extraction utilisateur approche enfonction critère influence extraits protocole test approche approches article papier processus extraction supervisée article approche classification classes processus approche méthode extraction classes détection limite classe classe centre critères évaluation méthode expérimentations intérêt approche problèmes approche visualisation face quantité données fouille visualisation données pouvoir quantités solutions données réductionde dimension données perte informations idée descripteurs méthode algorithme sélection dimensions génétique dimensions ensembles individus ensembles données dimensions problèmes fouille données solution pré traitement dimensions choix dimensions ailleursnous rôle utilisateur fouille génétique évaluation solutions évaluation évaluation utilisateur réduction nombre dimensions algorithme visualisation expert éléments erreurs individus masse
405,Blandine Comte, combinaison méthodes données consists biomarkers solutions machine feature visualization
406,Dhouha-Grissa, combinaison méthodes données consists biomarkers solutions machine feature visualization
407,Estelle Pujos-Guillot, combinaison méthodes données consists biomarkers solutions machine feature visualization
408,Jérôme Azé, concept suicide suicide année organismes santé suicides pays suicide geste actes signes précurseurs deprédispositions suicide étude place comportements réseaux travaux messages thèmes suicide tristesse blessures étude compte évolution méthodes apprentissagedont méthode concept méthode données réseau confiance identification patients mining case infarction mi expert validation manipulation motifs application parcours démonstration application résultats fouille données application données cas infarctus spécialiste discussion validation apprentissage fonctions prédiction fonctions cellule interactionsd applications prédirein contexte travaux construction fonctions score programme amarrage rosettadock évaluation score combinaison mesures apprentissage fonctions score poids résultats montrentl importance signification poids espace patients santé ligne espaces échanges sentiments propos maladies traitements couvert anonymat expériences source informations santé problèmes lescomportements sentiments patients article messages fouille traces émotions joie colère surprise identification combinaison application approche protéines combinaison protéines prédiction hypothèses orthologues caractéristiques ii forme fonction espèce hypothèses paire espèces mesures qualité intérêt règles association lien modèle approche mesures évaluation système annotation arbres décision annotation hiérarchie connaissances vocabulaire pertinence annotations mesures précision rappel spécificité mesures évaluation erreurs niveaux hiérarchie représentation erreurs problème logiciel aide étiquetage textes spécialité compréhension textes spécialité étiquetage qualité textes domaines dictionnaires ressources logiciel étiquetage étiquetage connaissances experts domaine grâce expert domaine erreurs étiquetage place règles étiquetage règles manières langage programmation règles étiquetage apprentissage règles exemples apprentissage règles expert
409,Sandra Bringay, concept suicide suicide année organismes santé suicides pays suicide geste actes signes précurseurs deprédispositions suicide étude place comportements réseaux travaux messages thèmes suicide tristesse blessures étude compte évolution méthodes apprentissagedont méthode concept méthode données réseau confiance identification patients mining case infarction mi expert validation manipulation motifs application parcours démonstration application résultats fouille données application données cas infarctus spécialiste discussion validation patients santé ligne espaces échanges sentiments propos maladies traitements couvert anonymat expériences source informations santé problèmes lescomportements sentiments patients article messages fouille traces émotions joie colère surprise données informations article méthodes extraction informations documents méthode approche extraction informations patrons classification contexte résultats jeu données approche extraction motifs années augmentation quantité données nouveauxbesoins gestion risques compréhension épidémie article cadre extraction séquences motifs évolution temps localisation voisinage extraction parcours profondeur surdes projections données mesure intérêt aspects motifs jeux données approche rapport méthodes littérature tweets informations extraction motifs motifs informations données cas séquences achats clients magasin extraction motifs achats clients catégorie sexe âge motif contexte expert stratégie type client décisions article motifs achat achat produit clients propriétés développons extraction motifs expérimentations jeu données apports efficacité approche aide décision maintenance maintenance trains problème enjeux nousintéressons place maintenance détectionet correction comportement outil connaissances trains anomalies décisions termes maintenance cube données masse données méthodes données approches textes connaissance documents approches entrepôts technologies contenus article fonctions agrégation tf compte dimensions agrégation groupements situation données intérêt propositions requêtes compte préférences utilisateurs données données connaissances utilisateurs volumesde travaux points outil restitution compte préférences retenul attention travaux solutions terme stockage informations délais réponse requêtes proposition computation points requêtes type préférences utilisateurs volumes données dimensions préférences connaissancesles compromis motifs extraction connaissances données puces connaissances inconnues résultats experts outil accompagnement experts appropriation résultats outil visualisation systèmes quantités motifs séquences découverte motifs puces terme prévention diagnostic actions puces intensité milliers article motifs don puces connaissances domaine visualisation outil visualisation motifs extraits données
410,Gilles Venturini, construction structure exploration collections images article manière construction exploration structure classification based images structure contraintes visualisation données combinons balanced clustering construction voisinage manière fils arbre images noeud utilisateur exploration arbre insertionde images collection dizaines milliers images minute temps calcul exploration propriétés structure visualisation approche article parallélisation méthode base points intérêt approche temps millions dizaines dimensions efficacité parallélisation configurations réorganisation visualisations article algorithme olap ayantpour visualisation dimensions dimensions cube approches arbres aires olap comparaison réorganisation résultats titre cas utilisateurs résultats intérêt exemples tâches olap utilisateur choix paramétrage méthodes fouille données article problème automatisation processus choix fouille problème utilisateur étapes objectifs utilisateur caractéristiques données système utilisateur appariements base données visualisations appariements connaissances perception paramétrages système utilisateurs paramétrages utilisateur intérêt système tâches acquisition annotation exploration images réalité application article système composants logiciels desinformations images peau acquisition appareils méthode calibration matériel réalité stéréoscopie images annotations hypermédia étude calibration application images construction visualisation voisinage article algorithme antgraph construction voisinage comportement support structure approche base fourmi comportement graphe mesure données résultats comparaison terme temps calcul visualisation méthodes points intérêt article méthode visualisation données utilisateur domaine informations connaissances approche utilisation points contexte fouille données intérêt cercle données fonction points intérêt opérations intérêts propriétés visualisation caractéristiques application encours domaine exploration données enquêtes satisfaction
411,Frédéric Rayar, construction structure exploration collections images article manière construction exploration structure classification based images structure contraintes visualisation données combinons balanced clustering construction voisinage manière fils arbre images noeud utilisateur exploration arbre insertionde images collection dizaines milliers images minute temps calcul exploration propriétés structure
412,Fatma Bouali, construction structure exploration collections images article manière construction exploration structure classification based images structure contraintes visualisation données combinons balanced clustering construction voisinage manière fils arbre images noeud utilisateur exploration arbre insertionde images collection dizaines milliers images minute temps calcul exploration propriétés structure visualisation approche article parallélisation méthode base points intérêt approche temps millions dizaines dimensions efficacité parallélisation configurations réorganisation visualisations article algorithme olap ayantpour visualisation dimensions dimensions cube approches arbres aires olap comparaison réorganisation résultats titre cas utilisateurs résultats intérêt exemples tâches olap utilisateur choix paramétrage méthodes fouille données article problème automatisation processus choix fouille problème utilisateur étapes objectifs utilisateur caractéristiques données système utilisateur appariements base données visualisations appariements connaissances perception paramétrages système utilisateurs paramétrages utilisateur intérêt système tâches
413,Sabine Barrat, construction structure exploration collections images article manière construction exploration structure classification based images structure contraintes visualisation données combinons balanced clustering construction voisinage manière fils arbre images noeud utilisateur exploration arbre insertionde images collection dizaines milliers images minute temps calcul exploration propriétés structure
414,Sadok Ben Yahia, contributions coloration paper contributions determination verification introduce relation coloring computation theverification hypergraphs evaluation experiments hypergraphs interesting persorec système recommandations concepts système recommandations amis tags ressources personnalisation recommandations compte profil utilisateurs utilisateurs tags ressources besoins profil utilisateurs recours ressources tags ressources structures concepts compte moment processus recommandation qualité recommandations utilisateurs estdonc recommandation utilisateurselon mode recommandation recommandation amis tags ressources profil generator extraction hypergraphe solutions applications hypergraphes intérêt communauté développement article approche optimisation extraction notions traverses stratégie nousintroduisons generator expérimentations jeuxde données intérêt approche nombre transversalité nombre traverses détection élimination extraction hypergraphe objet travaux littérature article lien concepts fouille données théorie cadre calcul nombre exponentiel concise notion traverses étude algorithme intérêt paramétrage alignement choquet nombre processus alignement composante outils alignements qualité outils paramètres traitements papier approche adaptation paramètres alignement utilisation opérateur agrégation expérimentations amélioration résultats rapport statique approche détection diffuseurs système méthodes années membres auteurs ambassadeurs experts article cadre diffuseursdans contexte information appartenance membres communautés cadre forme notion dediffuseur algorithme détection itemsets représentation perte information cube données calcul données temps exécution mémoire stockage efforts problème cellules agrégation perte information article cube données cube notion modèles algorithme cube données contraintes ” ” générateur expériences notreproposition représentation cube données espace stockage extraction motifs découverte règles motifs salaire données biologie flots données méthodes motifs experts cetarticle représentation motifs concepts opérateurs fermeture motifs proposition approche détection règles classification systèmes détection objectif sécurité réseaux papier approche détection règles classification qualité détection itemsets représentation accroissement bases travaux recherche fouille données développement représentation recherches axes extraction règles association extraction représentations papier représentation itemsets croisement chemins représentations idée opérateur fermeture fonction contexte opérateur fermeture fermetures représentation taille extraction supports support closure itemsets étude approche taux représentations méthode alignement visualisation papier forme alignement visualisation pova prototype alignement approche alignement problème circularité intervention utilisateur forme ensembles règles association recherche règles association question extraction connaissances données article restitution règles prototype approche type intégration phases extraction visualisation processus extraction générique règles temps tâche visualisation processus regroupement ensemble règles association écran représentation type manière représentation groupes règles vue groupe méthode construction termes iceberg article objectif construction iceberg entendons termes liens cas étude connaissances applications recherche information indexation requêtes méthode construction concepts structure iceberg structure translation relations ontologie règles termes cadre processus connecion deriving taille données défi scalabilité extraction connaissances papier dérivation règles approches introduction structure données stockage méthode coût construction structures règles
415,M. Nidhal Jelassi, contributions coloration paper contributions determination verification introduce relation coloring computation theverification hypergraphs evaluation experiments hypergraphs interesting generator extraction hypergraphe solutions applications hypergraphes intérêt communauté développement article approche optimisation extraction notions traverses stratégie nousintroduisons generator expérimentations jeuxde données intérêt approche nombre transversalité nombre traverses
416,Celine Robardet, découverte exploration données enjeu individu traces activité mobilité individus possiblede modèle précision appartenance utilisateur réductionde précision identification question article déduplication méthode exploration ensemble face identification espace recherche données jeu résultats qualité méthode découverte motifs traces mobilité traces mobilité capteurs fins problèmes méthodes comportement individu manière points intérêts exemple modèle travaux manière article méthode individu donton trace mobilité motifs mobilité motif description ensemble visites points intérêt individu motif phase mobilité individu expérimentation traces mobilité véhicules résultats extraction variations propriétés sommets position réseaux fouille données approches niveau étude propriétés distribution degrés niveau extraction denses méthode motifs propriétés réseau motifs variations sommets exemple motif réseau auteurs nombre publications centralité sommets correspondants réseau travail propriétés propriétés domaine variations motifs contexte bibliographique dblp
417,Quentin Labernia, découverte exploration données enjeu individu traces activité mobilité individus possiblede modèle précision appartenance utilisateur réductionde précision identification question article déduplication méthode exploration ensemble face identification espace recherche données jeu résultats qualité
418,Victor Codocedo, découverte exploration données enjeu individu traces activité mobilité individus possiblede modèle précision appartenance utilisateur réductionde précision identification question article déduplication méthode exploration ensemble face identification espace recherche données jeu résultats qualité découverte motifs caractéristiques anomalies traces industries exploitation collections traces applications reporting détection fraudes gestion retours évidence distribution étape collections traces travaux détection anomalies description traces méthode extraction motifs contextualiserdes comportements modèle expert données degré anomalie grâce nombre mouvements objets recherche programme contexte données méthode étude traces mobilité jeu motif raisons joueurs
419,Olivier Cavadenti, découverte motifs caractéristiques anomalies traces industries exploitation collections traces applications reporting détection fraudes gestion retours évidence distribution étape collections traces travaux détection anomalies description traces méthode extraction motifs contextualiserdes comportements modèle expert données degré anomalie grâce nombre mouvements objets recherche programme contexte données méthode étude traces mobilité jeu motif raisons joueurs
420,Julien Aligon, défi motifs domaine textes extraction motifs évidence relations mots lorsqu ensembles textes papier ambition intérêt utilisation évidence forme mots relations défi intérêt approche évolution mots papiers années interrogations logs requêtes analyse entrepôt données exploitation fouille fichiers logs requêtes connaissance méthode représentation papier méthode logs requêtes idée base séquence requêtes cadre requêtes qualité stratégies logs qualité propriétés tests logs requêtes intérêt approche
421,Fabien Picarougne, défi motifs domaine textes extraction motifs évidence relations mots lorsqu ensembles textes papier ambition intérêt utilisation évidence forme mots relations défi intérêt approche évolution mots papiers années perspectives fouille débat communauté expériences discussions restitutions perspective communication cadre impact disparité tâche identification communautés performance résolution tâche comportement analyse mouvement souris modifications points vue résultats évidence performances différences exploration zones stéréoscopie apport réalisation usage entreprises recherche entreprise tâche outils disposition satisfaction côté moteurs recherche difficultés résultat côté annuaires type pages organisation efficacité face constat moteur recherche entreprise localisation approche ontologie formalisation connaissances domaine tâche évidence intérêt structures utilisation classification activités produits entreprises structure unités localisation entreprises opération désambiguïsation noeud activité mots clés résultats moteur moteur activités pages niveau précision rappel résultats
422,Fabrice Guillet, défi motifs domaine textes extraction motifs évidence relations mots lorsqu ensembles textes papier ambition intérêt utilisation évidence forme mots relations défi intérêt approche évolution mots papiers années méthodologie recommandations produits intérêt clients contexte fidélisation clients rang préoccupations entreprises clients clients entreprises marge cycle vie clients relation recommandations article systèmes recommandations chiffres affaires clients familles produits comportements référence forme règles association intérêt recommandations exemples règles méthodologie clients produits commerciaux possibilités accroissement client fouille réalité art fouille données vdm interprétation résultats fouille données grâce usage représentations cours décennie nombre information visualisation données travaux chercheurs compte utilisation réalité article art critères applications interaction avantages inconvénients approche illustrations ciblage règles association connaissances décideur usage modèle règles association fouille données quantité règles mise phase traitement règles article approche décideur règles alignement hiérarchies découverte implications concepts littérature travaux méthodes particularité travaux intérêt mesures alignement méthode alignement découvertedes implications approche modèle écart indépendance intensité implication parties extraction ontologie association termes concepts découverte sélection implications concepts méthode jeux profils entreprises cours résultats desrelations alignement similarité comparaison mesures intérêt règles association approche corrélation choix mesures intérêt règles question traitement littérature auteurs propriétés choix mesures qualité règle structure données buts mesures contexte article approche outil décideur comportement jeux données analyse corrélation comportementde mesures intérêt ensembles données données données attendions différences corrélation jeux stabilités corrélation propriétés données représentation expertise typicalité contribution sujets analyse analyse tableaux sujets règles article structures responsabilité sujets groupes sujets constitution chemins hiérarchie concepts typicalité sujets comportement population contribution sujets rapport règles exemple traité logiciel intérêt concepts visualisation gestion connaissances développement modèle atanor systèmes gestion connaissances support lacréation diffusion mémoires entreprises connaissances experts systèmes experts outils uneformalisation graphique connaissances formalisation niveau modèles représentations arbres rapport représentations cetarticle modèle connaissances arbres connaissances approche connaissances niveaux méthodes contexte maintenance apport processus connaissances modélisation agent connaissance forme simulation intelligence systèmes méthodes formalisation extraction connaissances cadre gestion connaissances agent connaissances émotions expertise manière base connaissances forme règles implémentation modèle perspectives simulation enrichissement données découverte connaissances application processus modélisation interactions individus étude phénomènes outils simulation domaines étude comportement tendance systèmes agents sciences élaboration type outil article objectif outil simulation comportement individus chaîne production outil collecte connaissance système aide décision entreprise article modélisation interactions individus formalisme implémentation modèle outil simulation résultats terme production données simulation qualité règles taux validation connaissances étapes processus découverte règles association expert données connaissances quantités règles fouille données qualité règles cadre article règles contenu indice qualité taux indice avantage règles caractère profit connaissance mesure qualité règles indépendance déséquilibre règles règles exemples exemples comparaisons mesure information indice confiance
423,Julien Blanchard, défi motifs domaine textes extraction motifs évidence relations mots lorsqu ensembles textes papier ambition intérêt utilisation évidence forme mots relations défi intérêt approche évolution mots papiers années motifs extraction ensembles évènements données méthode motifs données approche motifs motifs motifs motifs généronsnon motifs structure rpgraph méthodologie recommandations produits intérêt clients contexte fidélisation clients rang préoccupations entreprises clients clients entreprises marge cycle vie clients relation recommandations article systèmes recommandations chiffres affaires clients familles produits comportements référence forme règles association intérêt recommandations exemples règles méthodologie clients produits commerciaux possibilités accroissement client application modèles régression investissement opérations application modèles régression investissement opérations activités négoce matériaux marché acteurs marché méthodes fouille gains article expérience fouille données matériaux surinvestissement opérations synergie experts métier extraction données manière connaissance experts métier décisions système aide navigation développement applications construction exploitation profils modèles utilisateurs capitaux domaines pouvoir utilisateur hypermédia site exemple produits utilisateur flot informations système navigation système modélisation comportement navigation fonction comportement liens particuliers qualité règles taux validation connaissances étapes processus découverte règles association expert données connaissances quantités règles fouille données qualité règles cadre article règles contenu indice qualité taux indice avantage règles caractère profit connaissance mesure qualité règles indépendance déséquilibre règles règles exemples exemples comparaisons mesure information indice confiance
424,Clément Iphar, détection messages localisation navires identification messages attacks article detection
425,Aldo Napoli, détection messages localisation navires identification messages attacks article detection découverte règles association prévision accidents systèmes surveillance récupération informations navires position vitesse fins trafic dispositif affichage identification systèmes compte expertise nombre navires multiplicité collision remplacement surveillance reconnaissance événements temps espace systèmes surveillance article approche extraction règles prévision identification situations cadredes accidents
426,Bruno Faivre, enrichissement schéma constellation grâce classification structures entrepôt agrégation mesures vue données place travaux construction fouille données contexte dimension article architecturerolap dimension données
427,Ludovic Journaux, enrichissement schéma constellation grâce classification structures entrepôt agrégation mesures vue données place travaux construction fouille données contexte dimension article architecturerolap dimension données
428,Sandro Bimonte, enrichissement schéma constellation grâce classification structures entrepôt agrégation mesures vue données place travaux construction fouille données contexte dimension article architecturerolap dimension données proposition intégration introduction information naissance concept article spécificités comptedans modèles ceslimites concept dimension types introduction opérateurs opérateurs paradigme prototype navigation intégration concepts
429,Lucile Sautot, enrichissement schéma constellation grâce classification structures entrepôt agrégation mesures vue données place travaux construction fouille données contexte dimension article architecturerolap dimension données
430,Kévin Saint-Paul, enrichissement schéma constellation grâce classification structures entrepôt agrégation mesures vue données place travaux construction fouille données contexte dimension article architecturerolap dimension données
431,Arnaud Larrère, enrichissement schéma constellation grâce classification structures entrepôt agrégation mesures vue données place travaux construction fouille données contexte dimension article architecturerolap dimension données
432,Aurélien Bossard, prédiction groupes collaborations jours intérêt méthodes groupes impact travail communauté performances contexte approche centralité groupe chercheurs mesure capacité groupes modélisation interactions groupes temps modèle groupes niveau production déterminants collaborations recherche outil géolocalisation accès information actualité
433,Mario Cataldi, prédiction groupes collaborations jours intérêt méthodes groupes impact travail communauté performances contexte approche centralité groupe chercheurs mesure capacité groupes modélisation interactions groupes temps modèle groupes niveau production déterminants collaborations recherche
434,Myriam Lamolle, prédiction groupes collaborations jours intérêt méthodes groupes impact travail communauté performances contexte approche centralité groupe chercheurs mesure capacité groupes modélisation interactions groupes temps modèle groupes niveau production déterminants collaborations recherche
435,Chan Le Duc, prédiction groupes collaborations jours intérêt méthodes groupes impact travail communauté performances contexte approche centralité groupe chercheurs mesure capacité groupes modélisation interactions groupes temps modèle groupes niveau production déterminants collaborations recherche
436,Annie Foret, exploration données défi système information article méthodes réponse défi chaînes traitements ressources outils environnement exploration données systèmes systèmes généralisation données
437,Olivier Ridoux, exploration données défi système information article méthodes réponse défi chaînes traitements ressources outils environnement exploration données systèmes systèmes généralisation données
438,Peggy Cellier, exploration données défi système information article méthodes réponse défi chaînes traitements ressources outils environnement exploration données systèmes systèmes généralisation données
439,Sébastien Ferré, exploration données défi système information article méthodes réponse défi chaînes traitements ressources outils environnement exploration données systèmes systèmes généralisation données exploration règles association
440,Zakia Kazi Aoul, extension flux technologies utiliséespour gestion flux données systèmes traitement sparql ep langage données système rythme stockage traitement totalité flux raisonnement conséquent recours lacharge données raisonnement extensions article sparql échantillons flux opérateurs reservoiret sparql extension terme temps exécution données source encouraged application main
